CUSTOMER_ID|STATE_ID
1|44
2|44
3|44
4|44
5|44
6|44
7|44
8|44
9|44
10|44
11|44
12|44
13|44
14|44
15|44
16|44
17|44
18|44
19|44
20|44
21|44
22|44
23|44
24|44
25|44
26|44
27|44
28|44
29|44
30|44
31|44
32|44
33|44
34|44
35|44
36|44
37|44
38|44
39|44
40|44
41|44
42|44
43|44
44|44
45|44
46|44
47|44
48|44
49|44
50|44
51|44
52|44
53|44
54|44
55|44
56|44
57|44
58|44
59|44
60|44
61|44
62|44
63|19
64|44
65|44
66|44
67|44
68|44
69|44
70|44
71|44
72|44
73|44
74|44
75|44
76|44
77|44
78|44
79|44
80|44
81|44
82|44
83|44
84|44
85|44
86|44
87|44
88|44
89|44
90|44
91|44
92|44
93|44
94|44
95|44
96|44
97|44
98|44
99|44
100|44
