CUSTOMER_ID|BUSINESS_ID|BUSINESS
1|1|Business
2|1|Business
3|1|Business
4|1|Business
5|1|Business
6|1|Business
7|1|Business
8|1|Business
9|0|Individual
10|0|Individual
11|0|Individual
12|1|Business
13|1|Business
14|1|Business
15|0|Individual
16|0|Individual
17|1|Business
18|1|Business
19|1|Business
20|0|Individual
21|0|Individual
22|0|Individual
23|1|Business
24|1|Business
25|1|Business
26|1|Business
27|0|Individual
28|0|Individual
29|1|Business
30|0|Individual
31|0|Individual
32|1|Business
33|1|Business
34|0|Individual
35|1|Business
36|0|Individual
37|1|Business
38|1|Business
39|0|Individual
40|1|Business
41|1|Business
42|0|Individual
43|1|Business
44|1|Business
45|1|Business
46|1|Business
47|1|Business
48|0|Individual
49|1|Business
50|0|Individual
51|1|Business
52|1|Business
53|1|Business
54|1|Business
55|1|Business
56|1|Business
57|0|Individual
58|0|Individual
59|1|Business
60|0|Individual
61|1|Business
62|0|Individual
63|1|Business
64|1|Business
65|0|Individual
66|0|Individual
67|1|Business
68|0|Individual
69|1|Business
70|1|Business
71|0|Individual
72|0|Individual
73|1|Business
74|1|Business
75|1|Business
76|1|Business
77|1|Business
78|1|Business
79|1|Business
80|0|Individual
81|1|Business
82|1|Business
83|1|Business
84|1|Business
85|1|Business
86|1|Business
87|0|Individual
88|1|Business
89|1|Business
90|1|Business
91|0|Individual
92|0|Individual
93|0|Individual
94|0|Individual
95|0|Individual
96|0|Individual
97|0|Individual
98|0|Individual
99|1|Business
100|1|Business
